number,linux_name,status,dispatch_macros,dispatch_handlers,kernel_macros_at_number,legacy_alias_if_enabled,test_covered,notes
0,read,native-ok,SYS_read_x86,sys_vfs_read,SYS_read_x86,,yes,native number is wired to matching handler
1,write,native-ok,SYS_write_x86,sys_vfs_write,SYS_write_x86,,yes,native number is wired to matching handler
2,open,struct-risk,SYS_open_x86,sys_vfs_open,SYS_open_x86,,yes,native number is wired; audit structs/flags/semantics
3,close,native-ok,SYS_close_x86,sys_vfs_close,SYS_close_x86,,yes,native number is wired to matching handler
4,stat,struct-risk,SYS_stat_x86,sys_vfs_stat,SYS_stat_x86,,yes,native number is wired; audit structs/flags/semantics
5,fstat,struct-risk,SYS_fstat_x86,sys_vfs_fstat,SYS_fstat_x86,,yes,native number is wired; audit structs/flags/semantics
6,lstat,struct-risk,SYS_lstat_x86,sys_vfs_lstat,SYS_lstat_x86,,yes,native number is wired; audit structs/flags/semantics
7,poll,struct-risk,SYS_poll_x86,sys_vfs_poll,SYS_poll_x86,,yes,native number is wired; audit structs/flags/semantics
8,lseek,native-ok,SYS_lseek_x86,sys_vfs_lseek,SYS_lseek_x86,,yes,native number is wired to matching handler
9,mmap,struct-risk,SYS_mmap_x86,sys_mmap,SYS_mmap_x86,,yes,native number is wired; audit structs/flags/semantics
10,mprotect,struct-risk,SYS_mprotect_x86,sys_mprotect,SYS_mprotect_x86,,yes,native number is wired; audit structs/flags/semantics
11,munmap,struct-risk,SYS_munmap_x86,sys_munmap,SYS_munmap_x86,,yes,native number is wired; audit structs/flags/semantics
12,brk,native-ok,SYS_brk_x86,sys_brk,SYS_brk_x86,,no,native number is wired to matching handler
13,rt_sigaction,struct-risk,SYS_rt_sigaction_x86,sys_rt_sigaction,SYS_rt_sigaction_x86,,yes,native number is wired; audit structs/flags/semantics
14,rt_sigprocmask,native-ok,SYS_rt_sigprocmask_x86,sys_rt_sigprocmask,SYS_rt_sigprocmask_x86,,yes,native number is wired to matching handler
15,rt_sigreturn,native-ok,SYS_rt_sigreturn_x86,sys_sigreturn,SYS_rt_sigreturn_x86,,yes,native number is wired to matching handler
