number,linux_name,semantic_area,dispatch_status,semantic_status,test_covered,dispatch_handlers,evidence,remaining_gap
0,read,fd-vfs,native-ok,probed-compatible-core,yes,sys_vfs_read,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
1,write,fd-vfs,native-ok,probed-compatible-core,yes,sys_vfs_write,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
2,open,fd-vfs,struct-risk,semantic-partial,yes,sys_vfs_open,raw open/openat and O_CLOEXEC paths are covered,"O_PATH, O_TMPFILE, O_DIRECTORY, and some creation/trailing-slash details remain partial"
3,close,fd-vfs,native-ok,probed-compatible-core,yes,sys_vfs_close,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
4,stat,fd-vfs,struct-risk,probed-compatible-core,yes,sys_vfs_stat,raw stat('/') layout test passes,broader inode-type/time edge cases remain
5,fstat,fd-vfs,struct-risk,probed-compatible-core,yes,sys_vfs_fstat,raw fstat(fd) layout test passes,broader inode-type/time edge cases remain
6,lstat,fd-vfs,struct-risk,probed-compatible-core,yes,sys_vfs_lstat,raw lstat('/') layout test passes,symlink edge coverage remains
7,poll,fd-vfs,struct-risk,semantic-partial,yes,sys_vfs_poll,poll number and basic runtime tests pass,full event mask semantics are partial
8,lseek,fd-vfs,native-ok,probed-compatible-core,yes,sys_vfs_lseek,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
9,mmap,memory,struct-risk,probed-compatible-core,yes,sys_mmap,raw anonymous mmap and fixed collision paths are exercised indirectly,full MAP_* flag matrix remains partial
10,mprotect,memory,struct-risk,probed-compatible-core,yes,sys_mprotect,native number is wired and covered by memory ABI tests,full protection/fault matrix remains
11,munmap,memory,struct-risk,probed-compatible-core,yes,sys_munmap,raw munmap and unmap-self sequence pass,full partial-unmap matrix remains
12,brk,memory,native-ok,compatible-by-inspection,no,sys_brk,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
13,rt_sigaction,signal,struct-risk,probed-compatible-core,yes,sys_rt_sigaction,raw rt_sigaction layout and sigsetsize tests pass,Linux signal frame/ucontext compatibility remains partial
14,rt_sigprocmask,signal,native-ok,probed-compatible-core,yes,sys_rt_sigprocmask,raw rt_sigprocmask sigsetsize and Linux SIG_SETMASK tests pass,threaded signal-mask edge cases remain
15,rt_sigreturn,signal,native-ok,probed-compatible-core,yes,sys_sigreturn,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
16,ioctl,fd-vfs,struct-risk,semantic-partial,yes,sys_vfs_ioctl,device ioctl dispatcher is wired,request coverage is device-specific and partial
17,pread64,fd-vfs,native-ok,probed-compatible-core,yes,sys_vfs_pread64,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
18,pwrite64,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_pwrite64,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
19,readv,fd-vfs,struct-risk,semantic-partial,no,sys_vfs_readv,native scatter/gather handler is wired,raw Linux-number readv regression still needed
20,writev,fd-vfs,struct-risk,semantic-partial,no,sys_vfs_writev,native scatter/gather handler is wired,raw Linux-number writev regression still needed
21,access,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_access,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
22,pipe,fd-vfs,struct-risk,semantic-partial,yes,sys_vfs_pipe,pipe number is covered,pipe capacity and atomicity matrix remains
23,select,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
24,sched_yield,time-scheduler,native-ok,compatible-by-inspection,no,sys_sched_yield,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
25,mremap,memory,struct-risk,probed-compatible-core,yes,sys_mremap,raw mremap growth/move regression passes,full MREMAP_FIXED overlap matrix remains
26,msync,memory,struct-risk,probed-compatible-core,yes,sys_msync,raw msync basic call passes,file-backed durability semantics remain partial
27,mincore,memory,struct-risk,probed-compatible-core,yes,sys_mincore,raw mincore basic call passes,resident-bit precision remains partial
28,madvise,memory,struct-risk,probed-compatible-core,yes,sys_madvise,raw madvise basic call passes,many MADV_* modes are no-op or partial
29,shmget,ipc,native-ok,compatible-by-inspection,no,sys_shmget,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
30,shmat,ipc,native-ok,compatible-by-inspection,no,sys_shmat,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
31,shmctl,ipc,native-ok,compatible-by-inspection,no,sys_shmctl,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
32,dup,fd-vfs,native-ok,probed-compatible-core,yes,sys_vfs_dup,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
33,dup2,fd-vfs,native-ok,probed-compatible-core,yes,sys_vfs_dup2,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
34,pause,signal,native-ok,compatible-by-inspection,no,sys_pause,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
35,nanosleep,time-scheduler,native-ok,compatible-by-inspection,no,sys_nanosleep,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
36,getitimer,time-scheduler,native-ok,compatible-by-inspection,no,sys_getitimer,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
37,alarm,time-scheduler,native-ok,compatible-by-inspection,no,sys_alarm,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
38,setitimer,time-scheduler,native-ok,probed-compatible-core,yes,sys_setitimer,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
39,getpid,process-thread,native-ok,compatible-by-inspection,no,sys_getpid,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
40,sendfile,other,native-ok,compatible-by-inspection,no,sys_sendfile,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
41,socket,socket-network,native-ok,compatible-by-inspection,no,sys_socket,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
42,connect,socket-network,struct-risk,semantic-partial,yes,sys_sconnect,raw connect error path is covered,"blocking, nonblocking, and sockaddr matrix remain"
43,accept,socket-network,struct-risk,semantic-partial,no,sys_accept,native accept number is wired,blocking and sockaddr matrix remain
44,sendto,socket-network,struct-risk,semantic-partial,no,sys_sendto,native sendto number is wired,flags and sockaddr matrix remain
45,recvfrom,socket-network,struct-risk,semantic-partial,no,sys_recvfrom,native recvfrom number is wired,flags and sockaddr matrix remain
