name	path	kind	role	allowed_scope
user/lib	user/lib	local-shim	xv6-user-library	xv6-owned compatibility surface; keep upstream-compatible ABI, not app-specific shortcuts
user/lib/x86_64	user/lib/x86_64	local-shim	xv6-user-library	xv6-owned compatibility surface; keep upstream-compatible ABI, not app-specific shortcuts
mkfs_xv6fs	user/programs/mkfs_xv6fs	local-program	xv6-filesystem-tool	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
dumpinode	user/programs/dumpinode	local-program	xv6-filesystem-tool	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
dumpchan	user/programs/dumpchan	local-program	xv6-filesystem-tool	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
dumppcache	user/programs/dumppcache	local-program	xv6-filesystem-tool	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
dumprq	user/programs/dumprq	local-program	xv6-filesystem-tool	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
bigfile	user/programs/bigfile	local-program	stress-test	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
devtest	user/programs/devtest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
dh	user/programs/dh	local-program	local-diagnostic	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
wallclock	user/programs/wallclock	local-program	local-diagnostic	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
timerdemo	user/programs/timerdemo	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
pngtest	user/programs/pngtest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
keyinject	user/programs/keyinject	local-program	local-diagnostic	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
mouseinject	user/programs/mouseinject	local-program	local-diagnostic	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
mousetest	user/programs/mousetest	local-program	local-diagnostic	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
waitgdb	user/programs/waitgdb	local-program	local-diagnostic	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
kprofile	user/programs/kprofile	local-program	local-diagnostic	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
pingpong	user/programs/pingpong	local-program	local-diagnostic	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
primes	user/programs/primes	local-program	local-diagnostic	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
randtest	user/programs/randtest	local-program	local-diagnostic	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
zombie	user/programs/zombie	local-program	stress-test	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
forktest	user/programs/forktest	local-program	stress-test	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
vforktest	user/programs/vforktest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
clonetest	user/programs/clonetest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
